"Jeanne Kelly:  Beware of This Common Creditor Error" "http://www.huffingtonpost.com/jeanne-kelly/beware-of-this-common-cre_b_2576488.html" "Jeanne Kelly" "http://www.huffingtonpost.com/jeanne-kelly/beware-of-this-common-cre_b_2576488.html" 
"Three arrested for identity theft profiling - Lodi News-Sentinel" "http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNHsc0Qog98YJLZ7GVkrREoNkh8mUg&url=http://www.lodinews.com/news/article_3f77a156-8925-11e2-aed0-001a4bcf887a.html" "" "tag:news.google.com,2005:cluster=http://www.lodinews.com/news/article_3f77a156-8925-11e2-aed0-001a4bcf887a.html" 
"Federal stats show identity theft on rise in Idaho - San Francisco Chronicle" "http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNGOtCn-Rj8dwiwXwsLxW9TAAFl7lQ&url=http://www.sfgate.com/news/crime/article/Identity-theft-on-the-rise-in-Idaho-4317205.php" "" "tag:news.google.com,2005:cluster=http://www.sfgate.com/news/crime/article/Identity-theft-on-the-rise-in-Idaho-4317205.php" 
"IRS identity theft crackdown leads to 109 arrests - USA TODAY" "http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNF8D4tkT4nOq6Z4k5jevRSw4L6n_A&url=http://www.usatoday.com/story/money/business/2013/02/07/irs-identity-theft-enforcement/1899059/" "" "tag:news.google.com,2005:cluster=http://www.usatoday.com/story/money/business/2013/02/07/irs-identity-theft-enforcement/1899059/" 
"Police Log: Reports of Identity Theft, Assault and Battery - Patch.com" "http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNEymVmeesfwuErOoo9kpCKXWZsfNg&url=http://falmouth.patch.com/articles/police-log-reports-of-identity-theft-assault-and-battery" "" "tag:news.google.com,2005:cluster=http://falmouth.patch.com/articles/police-log-reports-of-identity-theft-assault-and-battery" 
"Robert Siciliano:  BillGuard: Grey Charges Equal Legal Fraud" "http://www.huffingtonpost.com/robert-siciliano/grey-charges_b_2789797.html" "Robert Siciliano" "http://www.huffingtonpost.com/robert-siciliano/grey-charges_b_2789797.html" 
"Letter: Mayoka Warns About Identity Theft - Patch.com" "http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNGwu5CEnK4kSZJ99BCUSMXwcIoA_g&url=http://huntington.patch.com/articles/letter-mayoka-warns-about-identity-theft" "" "tag:news.google.com,2005:cluster=http://huntington.patch.com/articles/letter-mayoka-warns-about-identity-theft" 
"Rome woman charged with identity theft - Utica Observer Dispatch" "http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNH9hkcw5xMMScZL4zVkzzU_2J3_mA&url=http://www.uticaod.com/latestnews/x1551260940/Rome-woman-charged-with-identity-theft" "" "tag:news.google.com,2005:cluster=http://www.uticaod.com/latestnews/x1551260940/Rome-woman-charged-with-identity-theft" 
"Armenian Hoodlum Involved In Massive LA-OC Identity Theft Ring Gets Prison - OC Weekly (blog)" "http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNH_wjpyA8wh7TJcmNXTANqhQcOOZA&url=http://blogs.ocweekly.com/navelgazing/2013/02/identity_theft_ring_california.php" "" "tag:news.google.com,2005:cluster=http://blogs.ocweekly.com/navelgazing/2013/02/identity_theft_ring_california.php" 
" A 'Tsunami' Of Tax Fraud Slams Miami" "http://www.huffingtonpost.com/2013/02/17/florida-tax-identity-fraud-miami_n_2705436.html" "The Huffington Post News Team" "http://www.huffingtonpost.com/2013/02/17/florida-tax-identity-fraud-miami_n_2705436.html" 
"Police Log: Road Hazards, Flooding and Identity Theft - Patch.com" "http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNFeSauvpcz-4dCk0xcGY9lkDp0d-A&url=http://weston.patch.com/articles/police-log-road-hazards-flooding-and-identiy-theft" "" "tag:news.google.com,2005:cluster=http://weston.patch.com/articles/police-log-road-hazards-flooding-and-identiy-theft" 
"Protecting Yourself from Identity Theft - KTVO" "http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNFXB7AIU9Vjth-Jnr46u-afHxCYlA&url=http://www.heartlandconnection.com/community/story.aspx?id%3D868239" "" "tag:news.google.com,2005:cluster=http://www.heartlandconnection.com/community/story.aspx?id=868239" 
"Jonathan Rajewski:  How to Avoid Becoming a Victim of a 'Catfish'" "http://www.huffingtonpost.com/jonathan-rajewski/how-to-avoid-becoming-a-v_1_b_2507220.html" "Jonathan Rajewski" "http://www.huffingtonpost.com/jonathan-rajewski/how-to-avoid-becoming-a-v_1_b_2507220.html" 
"Riverside stolen car case leads to identity fraud arrests - abc7.com" "http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNH1yrliMcNhV3PF56bIVmTEkFJduA&url=http://abclocal.go.com/kabc/story?section%3Dnews/local/inland_empire%26id%3D9012683" "" "tag:news.google.com,2005:cluster=http://abclocal.go.com/kabc/story?section=news/local/inland_empire&id=9012683" 
"Northeastern Junior College's Business Day provides tips on preventing ... - Journal-Advocate" "http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNHjlarV1Fydj3AZXEXU2LwLtl1DiQ&url=http://www.journal-advocate.com/sterling-local_news/ci_22739543/northeastern-junior-colelge-business-day-identity-theft-social-media-marketing-your-business" "" "tag:news.google.com,2005:cluster=http://www.journal-advocate.com/sterling-local_news/ci_22739543/northeastern-junior-colelge-business-day-identity-theft-social-media-marketing-your-business" 
